case_type,number_of_hearings,judge_workload,document_count,case_priority,filing_to_first_hearing_days,court_level,previous_adjournments,total_case_duration_days
civil,4,66,3,low,87,magistrate,2,272
civil,5,29,6,low,12,magistrate,0,195
criminal,6,13,3,low,14,magistrate,1,286
criminal,1,35,4,low,9,district,2,490
criminal,3,35,6,low,1,magistrate,4,512
civil,3,68,2,low,8,district,0,343
criminal,6,50,3,low,4,high_court,0,720
civil,5,22,3,low,117,district,0,360
civil,2,61,4,medium,24,district,1,462
civil,2,49,6,medium,45,magistrate,2,264
civil,5,37,5,medium,29,magistrate,1,216
criminal,5,72,4,low,34,high_court,1,874
civil,6,39,4,high,7,magistrate,0,316
civil,5,27,2,medium,16,district,0,401
civil,6,61,1,medium,57,district,0,546
criminal,4,48,3,low,22,magistrate,1,366
tax,7,20,8,high,6,supreme,0,1946
criminal,3,36,7,medium,2,district,1,544
civil,7,36,5,low,45,district,0,372
criminal,6,55,4,low,6,magistrate,1,354
criminal,6,93,2,medium,25,magistrate,1,311
labor,3,28,3,medium,16,district,0,490
civil,4,74,5,low,3,magistrate,1,297
civil,4,36,3,medium,40,magistrate,0,264
civil,7,29,3,medium,49,supreme,0,1385
criminal,4,46,3,low,6,high_court,2,972
civil,4,55,3,low,4,high_court,0,659
civil,3,27,7,medium,5,magistrate,0,146
criminal,5,38,4,low,2,district,1,399
criminal,2,68,6,low,8,magistrate,1,310
civil,3,58,4,low,46,supreme,4,1280
tax,3,50,6,low,6,district,1,458
civil,3,37,6,medium,0,magistrate,1,230
family,2,44,8,low,2,magistrate,2,96
criminal,4,29,8,low,14,magistrate,3,426
family,6,59,8,high,3,magistrate,0,250
civil,2,83,4,medium,31,magistrate,0,334
family,4,56,10,low,15,high_court,0,670
labor,2,24,7,low,4,magistrate,0,216
labor,2,61,2,medium,29,district,1,340
civil,3,57,8,low,3,supreme,0,1002
civil,6,46,4,low,44,high_court,3,872
criminal,5,61,3,low,9,district,1,541
criminal,3,38,5,low,1,magistrate,0,331
civil,5,30,3,medium,77,magistrate,0,361
family,5,42,3,medium,37,high_court,1,735
civil,8,86,8,high,62,district,0,689
